dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,pengelompokan
2011-01-01,Spring,0,1,0,6,0,Cloudy,0.344167,80.58330000000001,10.749882,331,654,985,Rendah
2011-01-02,Spring,0,1,0,0,0,Cloudy,0.363478,69.6087,16.652113,131,670,801,Rendah
2011-01-03,Spring,0,1,0,1,1,Clear,0.196364,43.7273,16.636703,120,1229,1349,Rendah
2011-01-04,Spring,0,1,0,2,1,Clear,0.2,59.0435,10.739832,108,1454,1562,Rendah
2011-01-05,Spring,0,1,0,3,1,Clear,0.226957,43.695699999999995,12.522300000000001,82,1518,1600,Rendah
2011-01-06,Spring,0,1,0,4,1,Clear,0.204348,51.8261,6.0008684,88,1518,1606,Rendah
2011-01-07,Spring,0,1,0,5,1,Cloudy,0.196522,49.8696,11.304642,148,1362,1510,Rendah
2011-01-08,Spring,0,1,0,6,0,Cloudy,0.165,53.5833,17.875868,68,891,959,Rendah
2011-01-09,Spring,0,1,0,0,0,Clear,0.138333,43.416700000000006,24.25065,54,768,822,Rendah
2011-01-10,Spring,0,1,0,1,1,Clear,0.150833,48.2917,14.958889,41,1280,1321,Rendah
2011-01-11,Spring,0,1,0,2,1,Cloudy,0.169091,68.6364,8.182844000000001,43,1220,1263,Rendah
2011-01-12,Spring,0,1,0,3,1,Clear,0.172727,59.954499999999996,20.410009,25,1137,1162,Rendah
2011-01-13,Spring,0,1,0,4,1,Clear,0.165,47.0417,20.166999999999998,38,1368,1406,Rendah
2011-01-14,Spring,0,1,0,5,1,Clear,0.16087,53.7826,8.478716,54,1367,1421,Rendah
2011-01-15,Spring,0,1,0,6,0,Cloudy,0.233333,49.875,10.583521,222,1026,1248,Rendah
2011-01-16,Spring,0,1,0,0,0,Clear,0.231667,48.375,12.625010999999999,251,953,1204,Rendah
2011-01-17,Spring,0,1,1,1,0,Cloudy,0.175833,53.75,12.999139,117,883,1000,Rendah
2011-01-18,Spring,0,1,0,2,1,Cloudy,0.216667,86.16669999999999,9.833924999999999,9,674,683,Rendah
2011-01-19,Spring,0,1,0,3,1,Cloudy,0.292174,74.1739,13.957239,78,1572,1650,Rendah
2011-01-20,Spring,0,1,0,4,1,Cloudy,0.261667,53.833299999999994,13.125568,83,1844,1927,Rendah
2011-01-21,Spring,0,1,0,5,1,Clear,0.1775,45.7083,23.667214,75,1468,1543,Rendah
2011-01-22,Spring,0,1,0,6,0,Clear,0.0591304,40.0,11.52199,93,888,981,Rendah
2011-01-23,Spring,0,1,0,0,0,Clear,0.0965217,43.6522,16.5222,150,836,986,Rendah
2011-01-24,Spring,0,1,0,1,1,Clear,0.0973913,49.173899999999996,10.60811,86,1330,1416,Rendah
2011-01-25,Spring,0,1,0,2,1,Cloudy,0.223478,61.695699999999995,8.696332,186,1799,1985,Rendah
2011-01-26,Spring,0,1,0,3,1,Light Rain/Snow,0.2175,86.25,19.68795,34,472,506,Rendah
2011-01-27,Spring,0,1,0,4,1,Clear,0.195,68.75,7.627078999999999,15,416,431,Rendah
2011-01-28,Spring,0,1,0,5,1,Cloudy,0.203478,79.30430000000001,8.2611,38,1129,1167,Rendah
2011-01-29,Spring,0,1,0,6,0,Clear,0.196522,65.17389999999999,9.739455,123,975,1098,Rendah
2011-01-30,Spring,0,1,0,0,0,Clear,0.216522,72.2174,4.956834199999999,140,956,1096,Rendah
2011-01-31,Spring,0,1,0,1,1,Cloudy,0.180833,60.375,12.541864,42,1459,1501,Rendah
2011-02-01,Spring,0,2,0,2,1,Cloudy,0.192174,82.9565,3.565271,47,1313,1360,Rendah
2011-02-02,Spring,0,2,0,3,1,Cloudy,0.26,77.5417,17.708636,72,1454,1526,Rendah
2011-02-03,Spring,0,2,0,4,1,Clear,0.186957,43.7826,18.609384,61,1489,1550,Rendah
2011-02-04,Spring,0,2,0,5,1,Cloudy,0.211304,58.521699999999996,8.565213,88,1620,1708,Rendah
2011-02-05,Spring,0,2,0,6,0,Cloudy,0.233333,92.91669999999999,10.792293,100,905,1005,Rendah
2011-02-06,Spring,0,2,0,0,0,Clear,0.285833,56.833299999999994,9.5006,354,1269,1623,Rendah
2011-02-07,Spring,0,2,0,1,1,Clear,0.271667,73.83330000000001,3.0423561,120,1592,1712,Rendah
2011-02-08,Spring,0,2,0,2,1,Clear,0.220833,53.7917,24.25065,64,1466,1530,Rendah
2011-02-09,Spring,0,2,0,3,1,Cloudy,0.134783,49.4783,12.652213,53,1552,1605,Rendah
2011-02-10,Spring,0,2,0,4,1,Clear,0.144348,43.7391,14.869645,47,1491,1538,Rendah
2011-02-11,Spring,0,2,0,5,1,Clear,0.189091,50.6364,7.272849999999999,149,1597,1746,Rendah
2011-02-12,Spring,0,2,0,6,0,Clear,0.2225,54.4167,13.625589,288,1184,1472,Rendah
2011-02-13,Spring,0,2,0,0,0,Clear,0.316522,45.7391,17.479160999999998,397,1192,1589,Rendah
2011-02-14,Spring,0,2,0,1,1,Clear,0.415,37.583299999999994,27.999836,208,1705,1913,Rendah
2011-02-15,Spring,0,2,0,2,1,Clear,0.266087,31.434800000000003,19.522058,140,1675,1815,Rendah
2011-02-16,Spring,0,2,0,3,1,Clear,0.318261,42.3478,16.869996999999998,218,1897,2115,Sedang
2011-02-17,Spring,0,2,0,4,1,Clear,0.435833,50.5,15.416968,259,2216,2475,Sedang
2011-02-18,Spring,0,2,0,5,1,Clear,0.521667,51.6667,17.749975000000003,579,2348,2927,Sedang
2011-02-19,Spring,0,2,0,6,0,Clear,0.399167,18.7917,34.000021,532,1103,1635,Rendah
2011-02-20,Spring,0,2,0,0,0,Clear,0.285217,40.7826,14.956745,639,1173,1812,Rendah
2011-02-21,Spring,0,2,1,1,0,Cloudy,0.303333,60.5,20.625682,195,912,1107,Rendah
2011-02-22,Spring,0,2,0,2,1,Clear,0.182222,57.7778,13.110761,74,1376,1450,Rendah
2011-02-23,Spring,0,2,0,3,1,Clear,0.221739,42.3043,6.3055710000000005,139,1778,1917,Rendah
2011-02-24,Spring,0,2,0,4,1,Cloudy,0.295652,69.7391,16.783231999999998,100,1707,1807,Rendah
2011-02-25,Spring,0,2,0,5,1,Cloudy,0.364348,71.2174,23.218113,120,1341,1461,Rendah
2011-02-26,Spring,0,2,0,6,0,Clear,0.2825,53.7917,12.500257,424,1545,1969,Rendah
2011-02-27,Spring,0,2,0,0,0,Clear,0.343478,68.0,8.391615999999999,694,1708,2402,Sedang
2011-02-28,Spring,0,2,0,1,1,Cloudy,0.407273,87.63640000000001,19.408962,81,1365,1446,Rendah
2011-03-01,Spring,0,3,0,2,1,Clear,0.266667,53.5,14.500475,137,1714,1851,Rendah
2011-03-02,Spring,0,3,0,3,1,Clear,0.335,44.9583,20.624811,231,1903,2134,Sedang
2011-03-03,Spring,0,3,0,4,1,Clear,0.198333,31.833299999999998,15.125518000000001,123,1562,1685,Rendah
2011-03-04,Spring,0,3,0,5,1,Cloudy,0.261667,61.0417,13.624182,214,1730,1944,Rendah
2011-03-05,Spring,0,3,0,6,0,Cloudy,0.384167,78.91669999999999,16.875357,640,1437,2077,Sedang
2011-03-06,Spring,0,3,0,0,0,Cloudy,0.376522,94.8261,23.000229,114,491,605,Rendah
2011-03-07,Spring,0,3,0,1,1,Clear,0.261739,55.1304,22.870584,244,1628,1872,Rendah
2011-03-08,Spring,0,3,0,2,1,Clear,0.2925,42.0833,8.083549999999999,316,1817,2133,Sedang
2011-03-09,Spring,0,3,0,3,1,Cloudy,0.295833,77.5417,14.750050000000002,191,1700,1891,Rendah
2011-03-10,Spring,0,3,0,4,1,Light Rain/Snow,0.389091,0.0,17.545759,46,577,623,Rendah
2011-03-11,Spring,0,3,0,5,1,Cloudy,0.316522,64.95649999999999,15.60899,247,1730,1977,Rendah
2011-03-12,Spring,0,3,0,6,0,Clear,0.329167,59.458299999999994,14.791924999999999,724,1408,2132,Sedang
2011-03-13,Spring,0,3,0,0,0,Clear,0.384348,52.73910000000001,18.130468,982,1435,2417,Sedang
2011-03-14,Spring,0,3,0,1,1,Clear,0.325217,49.695699999999995,9.174042,359,1687,2046,Sedang
2011-03-15,Spring,0,3,0,2,1,Cloudy,0.317391,65.5652,12.348703,289,1767,2056,Sedang
2011-03-16,Spring,0,3,0,3,1,Cloudy,0.365217,77.65220000000001,13.608839,321,1871,2192,Sedang
2011-03-17,Spring,0,3,0,4,1,Clear,0.415,60.291700000000006,14.041792999999998,424,2320,2744,Sedang
2011-03-18,Spring,0,3,0,5,1,Clear,0.54,52.5217,15.478139,884,2355,3239,Sedang
2011-03-19,Spring,0,3,0,6,0,Clear,0.4725,37.9167,24.667189,1424,1693,3117,Sedang
2011-03-20,Spring,0,3,0,0,0,Clear,0.3325,47.375,13.917307,1047,1424,2471,Sedang
2011-03-21,Summer,0,3,0,1,1,Cloudy,0.430435,73.73910000000001,19.348461,401,1676,2077,Sedang
2011-03-22,Summer,0,3,0,2,1,Clear,0.441667,62.4583,15.125250000000001,460,2243,2703,Sedang
2011-03-23,Summer,0,3,0,3,1,Cloudy,0.346957,83.9565,15.695487,203,1918,2121,Sedang
2011-03-24,Summer,0,3,0,4,1,Cloudy,0.285,80.58330000000001,16.333729,166,1699,1865,Rendah
2011-03-25,Summer,0,3,0,5,1,Clear,0.264167,49.5,15.458575000000002,300,1910,2210,Sedang
2011-03-26,Summer,0,3,0,6,0,Clear,0.265833,39.4167,14.041257,981,1515,2496,Sedang
2011-03-27,Summer,0,3,0,0,0,Cloudy,0.253043,49.3913,12.348099999999999,472,1221,1693,Rendah
2011-03-28,Summer,0,3,0,1,1,Clear,0.264348,30.2174,14.217668,222,1806,2028,Sedang
2011-03-29,Summer,0,3,0,2,1,Clear,0.3025,31.4167,15.208732,317,2108,2425,Sedang
2011-03-30,Summer,0,3,0,3,1,Cloudy,0.3,64.6667,11.583495999999998,168,1368,1536,Rendah
2011-03-31,Summer,0,3,0,4,1,Light Rain/Snow,0.268333,91.8333,14.582282000000001,179,1506,1685,Rendah
2011-04-01,Summer,0,4,0,5,1,Cloudy,0.3,68.625,17.333436,307,1920,2227,Sedang
2011-04-02,Summer,0,4,0,6,0,Cloudy,0.315,65.375,13.208782,898,1354,2252,Sedang
2011-04-03,Summer,0,4,0,0,0,Clear,0.378333,48.0,12.208271000000002,1651,1598,3249,Sedang
2011-04-04,Summer,0,4,0,1,1,Clear,0.573333,42.625,25.833257,734,2381,3115,Sedang
2011-04-05,Summer,0,4,0,2,1,Cloudy,0.414167,64.2083,26.000488999999998,167,1628,1795,Rendah
2011-04-06,Summer,0,4,0,3,1,Clear,0.390833,47.0833,17.625221,413,2395,2808,Sedang
2011-04-07,Summer,0,4,0,4,1,Clear,0.4375,60.291700000000006,10.874904,571,2570,3141,Sedang
2011-04-08,Summer,0,4,0,5,1,Cloudy,0.335833,83.625,15.208464,172,1299,1471,Rendah
2011-04-09,Summer,0,4,0,6,0,Cloudy,0.3425,87.75,8.916561,879,1576,2455,Sedang
2011-04-10,Summer,0,4,0,0,0,Cloudy,0.426667,85.75,9.833389,1188,1707,2895,Sedang
2011-04-11,Summer,0,4,0,1,1,Cloudy,0.595652,71.6956,21.739758,855,2493,3348,Sedang
2011-04-12,Summer,0,4,0,2,1,Cloudy,0.5025,73.9167,18.416892999999998,257,1777,2034,Sedang
2011-04-13,Summer,0,4,0,3,1,Cloudy,0.4125,81.91669999999999,16.791338999999997,209,1953,2162,Sedang
2011-04-14,Summer,0,4,0,4,1,Clear,0.4675,54.041700000000006,7.4169,529,2738,3267,Sedang
2011-04-15,Summer,0,4,1,5,0,Clear,0.446667,67.125,15.167124999999999,642,2484,3126,Sedang
2011-04-16,Summer,0,4,0,6,0,Light Rain/Snow,0.430833,88.83330000000001,22.834136,121,674,795,Rendah
2011-04-17,Summer,0,4,0,0,0,Clear,0.456667,47.9583,20.334232,1558,2186,3744,Sedang
2011-04-18,Summer,0,4,0,1,1,Clear,0.5125,54.25,10.958988999999999,669,2760,3429,Sedang
2011-04-19,Summer,0,4,0,2,1,Cloudy,0.505833,66.5833,10.584057,409,2795,3204,Sedang
2011-04-20,Summer,0,4,0,3,1,Clear,0.595,61.4167,16.208975,613,3331,3944,Sedang
2011-04-21,Summer,0,4,0,4,1,Clear,0.459167,40.708299999999994,21.792286,745,3444,4189,Sedang
2011-04-22,Summer,0,4,0,5,1,Cloudy,0.336667,72.9583,14.707906999999999,177,1506,1683,Rendah
2011-04-23,Summer,0,4,0,6,0,Cloudy,0.46,88.79169999999999,15.458575000000002,1462,2574,4036,Sedang
2011-04-24,Summer,0,4,0,0,0,Cloudy,0.581667,81.08330000000001,12.875725000000001,1710,2481,4191,Sedang
2011-04-25,Summer,0,4,0,1,1,Clear,0.606667,77.6667,12.417311,773,3300,4073,Sedang
2011-04-26,Summer,0,4,0,2,1,Clear,0.631667,72.9167,21.875500000000002,678,3722,4400,Sedang
2011-04-27,Summer,0,4,0,3,1,Cloudy,0.62,83.54169999999999,20.917399999999997,547,3325,3872,Sedang
2011-04-28,Summer,0,4,0,4,1,Cloudy,0.6175,70.08330000000001,21.500836000000003,569,3489,4058,Sedang
2011-04-29,Summer,0,4,0,5,1,Clear,0.51,45.7083,16.084221,878,3717,4595,Sedang
2011-04-30,Summer,0,4,0,6,0,Clear,0.4725,50.3333,15.750025,1965,3347,5312,Tinggi
2011-05-01,Summer,0,5,0,0,0,Cloudy,0.451667,76.2083,7.125718,1138,2213,3351,Sedang
2011-05-02,Summer,0,5,0,1,1,Cloudy,0.549167,73.0,12.291418,847,3554,4401,Sedang
2011-05-03,Summer,0,5,0,2,1,Cloudy,0.616667,69.7083,22.958689,603,3848,4451,Sedang
2011-05-04,Summer,0,5,0,3,1,Cloudy,0.414167,73.70830000000001,22.042732,255,2378,2633,Sedang
2011-05-05,Summer,0,5,0,4,1,Clear,0.459167,44.4167,19.791263999999998,614,3819,4433,Sedang
2011-05-06,Summer,0,5,0,5,1,Clear,0.479167,59.0,15.292482,894,3714,4608,Sedang
2011-05-07,Summer,0,5,0,6,0,Clear,0.52,54.125,10.750150000000001,1612,3102,4714,Sedang
2011-05-08,Summer,0,5,0,0,0,Clear,0.528333,63.1667,5.0007125,1401,2932,4333,Sedang
2011-05-09,Summer,0,5,0,1,1,Clear,0.5325,58.875,11.792,664,3698,4362,Sedang
2011-05-10,Summer,0,5,0,2,1,Clear,0.5325,48.9167,7.749956999999999,694,4109,4803,Sedang
2011-05-11,Summer,0,5,0,3,1,Clear,0.5425,63.29169999999999,8.083014,550,3632,4182,Sedang
2011-05-12,Summer,0,5,0,4,1,Clear,0.535,74.75,12.707689,695,4169,4864,Sedang
2011-05-13,Summer,0,5,0,5,1,Cloudy,0.5125,86.33330000000001,12.041575,692,3413,4105,Sedang
2011-05-14,Summer,0,5,0,6,0,Cloudy,0.520833,92.25,9.041649999999999,902,2507,3409,Sedang
2011-05-15,Summer,0,5,0,0,0,Cloudy,0.5625,86.70830000000001,10.249593,1582,2971,4553,Sedang
2011-05-16,Summer,0,5,0,1,1,Clear,0.5775,78.79169999999999,8.500357000000001,773,3185,3958,Sedang
2011-05-17,Summer,0,5,0,2,1,Cloudy,0.561667,83.7917,18.582718,678,3445,4123,Sedang
2011-05-18,Summer,0,5,0,3,1,Cloudy,0.55,87.0,13.499964,536,3319,3855,Sedang
2011-05-19,Summer,0,5,0,4,1,Cloudy,0.530833,82.9583,7.250271000000001,735,3840,4575,Sedang
2011-05-20,Summer,0,5,0,5,1,Clear,0.536667,71.9583,8.375871,909,4008,4917,Sedang
2011-05-21,Summer,0,5,0,6,0,Clear,0.6025,62.6667,8.083549999999999,2258,3547,5805,Tinggi
2011-05-22,Summer,0,5,0,0,0,Clear,0.604167,74.9583,9.916536,1576,3084,4660,Sedang
2011-05-23,Summer,0,5,0,1,1,Cloudy,0.631667,81.0,15.667413999999999,836,3438,4274,Sedang
2011-05-24,Summer,0,5,0,2,1,Cloudy,0.66,74.0833,13.875164,659,3833,4492,Sedang
2011-05-25,Summer,0,5,0,3,1,Clear,0.660833,69.625,10.333611000000001,740,4238,4978,Sedang
2011-05-26,Summer,0,5,0,4,1,Clear,0.708333,67.75,13.376014,758,3919,4677,Sedang
2011-05-27,Summer,0,5,0,5,1,Clear,0.681667,65.375,16.125493,871,3808,4679,Sedang
2011-05-28,Summer,0,5,0,6,0,Clear,0.655833,72.9583,15.416164,2001,2757,4758,Sedang
2011-05-30,Summer,0,5,1,1,0,Clear,0.733333,68.5,8.792075,1549,2549,4098,Sedang
2011-05-31,Summer,0,5,0,2,1,Clear,0.775,63.6667,7.459042999999999,673,3309,3982,Sedang
2011-06-01,Summer,0,6,0,3,1,Cloudy,0.764167,67.7083,13.875164,513,3461,3974,Sedang
2011-06-02,Summer,0,6,0,4,1,Clear,0.715,30.5,19.583229000000003,736,4232,4968,Sedang
2011-06-03,Summer,0,6,0,5,1,Clear,0.62,35.4167,16.959107,898,4414,5312,Tinggi
2011-06-04,Summer,0,6,0,6,0,Clear,0.635,45.625,8.250514,1869,3473,5342,Tinggi
2011-06-05,Summer,0,6,0,0,0,Cloudy,0.648333,65.25,9.292364000000001,1685,3221,4906,Sedang
2011-06-06,Summer,0,6,0,1,1,Clear,0.678333,60.0,8.167032,673,3875,4548,Sedang
2011-06-07,Summer,0,6,0,2,1,Clear,0.7075,59.791700000000006,12.583136,763,4070,4833,Sedang
2011-06-08,Summer,0,6,0,3,1,Clear,0.775833,62.20830000000001,9.166739,676,3725,4401,Sedang
2011-06-09,Summer,0,6,0,4,1,Cloudy,0.808333,56.833299999999994,10.042161,563,3352,3915,Sedang
2011-06-10,Summer,0,6,0,5,1,Clear,0.755,60.5,9.417118,815,3771,4586,Sedang
2011-06-11,Summer,0,6,0,6,0,Clear,0.725,65.45830000000001,10.374949999999998,1729,3237,4966,Sedang
2011-06-12,Summer,0,6,0,0,0,Clear,0.6925,74.7917,10.958988999999999,1467,2993,4460,Sedang
2011-06-13,Summer,0,6,0,1,1,Clear,0.635,49.4583,20.45845,863,4157,5020,Tinggi
2011-06-14,Summer,0,6,0,2,1,Clear,0.604167,50.708299999999994,18.041961,727,4164,4891,Sedang
2011-06-15,Summer,0,6,0,3,1,Clear,0.626667,47.1667,11.250104,769,4411,5180,Tinggi
2011-06-16,Summer,0,6,0,4,1,Cloudy,0.628333,68.8333,13.833556999999999,545,3222,3767,Sedang
2011-06-17,Summer,0,6,0,5,1,Clear,0.649167,73.5833,9.582942999999998,863,3981,4844,Sedang
2011-06-18,Summer,0,6,0,6,0,Clear,0.696667,67.0417,8.000336,1807,3312,5119,Tinggi
2011-06-19,Summer,0,6,0,0,0,Cloudy,0.699167,66.6667,6.834,1639,3105,4744,Sedang
2011-06-20,Summer,0,6,0,1,1,Cloudy,0.635,74.625,10.416825,699,3311,4010,Sedang
2011-06-21,Fall,0,6,0,2,1,Cloudy,0.680833,77.0417,11.458675000000001,774,4061,4835,Sedang
2011-06-22,Fall,0,6,0,3,1,Clear,0.733333,70.75,11.541554,661,3846,4507,Sedang
2011-06-23,Fall,0,6,0,4,1,Cloudy,0.728333,70.3333,15.999868,746,4044,4790,Sedang
2011-06-24,Fall,0,6,0,5,1,Clear,0.724167,57.3333,14.875675,969,4022,4991,Sedang
2011-06-25,Fall,0,6,0,6,0,Clear,0.695,48.3333,14.041257,1782,3420,5202,Tinggi
2011-06-26,Fall,0,6,0,0,0,Clear,0.68,51.3333,6.3337311,1920,3385,5305,Tinggi
2011-06-27,Fall,0,6,0,1,1,Cloudy,0.6825,65.8333,7.2083960000000005,854,3854,4708,Sedang
2011-06-28,Fall,0,6,0,2,1,Clear,0.744167,63.416700000000006,9.666960999999999,732,3916,4648,Sedang
2011-06-29,Fall,0,6,0,3,1,Clear,0.728333,49.7917,17.542007,848,4377,5225,Tinggi
2011-06-30,Fall,0,6,0,4,1,Clear,0.696667,43.416700000000006,12.415904000000001,1027,4488,5515,Tinggi
2011-07-01,Fall,0,7,0,5,1,Clear,0.7225,39.625,6.874736,1246,4116,5362,Tinggi
2011-07-02,Fall,0,7,0,6,0,Clear,0.738333,44.4583,7.709154,2204,2915,5119,Tinggi
2011-07-05,Fall,0,7,0,2,1,Clear,0.746667,59.0417,8.459286,1031,3634,4665,Sedang
2011-07-06,Fall,0,7,0,3,1,Clear,0.72,74.33330000000001,10.042161,784,3845,4629,Sedang
2011-07-07,Fall,0,7,0,4,1,Clear,0.75,65.125,10.666400000000001,754,3838,4592,Sedang
2011-07-08,Fall,0,7,0,5,1,Cloudy,0.709167,75.79169999999999,15.083643,692,3348,4040,Sedang
2011-07-09,Fall,0,7,0,6,0,Clear,0.733333,60.9167,11.250104,1988,3348,5336,Tinggi
2011-07-10,Fall,0,7,0,0,0,Clear,0.7475,57.8333,12.292557,1743,3138,4881,Sedang
2011-07-11,Fall,0,7,0,1,1,Clear,0.7625,63.5833,18.916579,723,3363,4086,Sedang
2011-07-12,Fall,0,7,0,2,1,Clear,0.794167,55.9167,13.417017999999999,662,3596,4258,Sedang
2011-07-13,Fall,0,7,0,3,1,Clear,0.746667,63.1667,9.790911000000001,748,3594,4342,Sedang
2011-07-14,Fall,0,7,0,4,1,Clear,0.680833,47.625,16.124689,888,4196,5084,Tinggi
2011-07-15,Fall,0,7,0,5,1,Clear,0.663333,59.12500000000001,12.249811,1318,4220,5538,Tinggi
2011-07-17,Fall,0,7,0,0,0,Clear,0.719167,60.4167,16.417211,2006,3296,5302,Tinggi
2011-07-18,Fall,0,7,0,1,1,Clear,0.746667,65.125,14.458867999999999,841,3617,4458,Sedang
2011-07-19,Fall,0,7,0,2,1,Clear,0.776667,65.0417,8.7502,752,3789,4541,Sedang
2011-07-20,Fall,0,7,0,3,1,Clear,0.768333,70.70830000000001,7.625739,644,3688,4332,Sedang
2011-07-21,Fall,0,7,0,4,1,Cloudy,0.815,69.125,14.875407,632,3152,3784,Sedang
2011-07-22,Fall,0,7,0,5,1,Clear,0.848333,58.0417,8.9177,562,2825,3387,Sedang
2011-07-23,Fall,0,7,0,6,0,Clear,0.849167,50.0,8.791807,987,2298,3285,Sedang
2011-07-24,Fall,0,7,0,0,0,Clear,0.83,55.0833,11.334456999999999,1050,2556,3606,Sedang
2011-07-25,Fall,0,7,0,1,1,Clear,0.743333,75.7083,6.0841560999999995,568,3272,3840,Sedang
2011-07-26,Fall,0,7,0,2,1,Clear,0.771667,54.0833,13.417285999999999,750,3840,4590,Sedang
2011-07-27,Fall,0,7,0,3,1,Clear,0.775,40.291700000000006,12.292020999999998,755,3901,4656,Sedang
2011-07-28,Fall,0,7,0,4,1,Clear,0.779167,58.3333,11.958093,606,3784,4390,Sedang
2011-07-29,Fall,0,7,0,5,1,Clear,0.838333,54.25,11.667245999999999,670,3176,3846,Sedang
2011-07-30,Fall,0,7,0,6,0,Clear,0.804167,46.5833,11.291979,1559,2916,4475,Sedang
2011-07-31,Fall,0,7,0,0,0,Clear,0.805833,48.0833,11.042470999999999,1524,2778,4302,Sedang
2011-08-01,Fall,0,8,0,1,1,Clear,0.771667,55.0833,10.500039,729,3537,4266,Sedang
2011-08-02,Fall,0,8,0,2,1,Clear,0.783333,49.125,13.79195,801,4044,4845,Sedang
2011-08-03,Fall,0,8,0,3,1,Cloudy,0.731667,65.75,9.084061,467,3107,3574,Sedang
2011-08-04,Fall,0,8,0,4,1,Cloudy,0.71,75.75,13.20905,799,3777,4576,Sedang
2011-08-05,Fall,0,8,0,5,1,Clear,0.710833,63.083299999999994,12.374632,1023,3843,4866,Sedang
2011-08-06,Fall,0,8,0,6,0,Cloudy,0.716667,75.5,15.29275,1521,2773,4294,Sedang
2011-08-07,Fall,0,8,0,0,0,Clear,0.7425,75.29169999999999,13.499629,1298,2487,3785,Sedang
2011-08-08,Fall,0,8,0,1,1,Clear,0.765,59.2083,12.875725000000001,846,3480,4326,Sedang
2011-08-09,Fall,0,8,0,2,1,Clear,0.775,57.04169999999999,10.125107,907,3695,4602,Sedang
2011-08-10,Fall,0,8,0,3,1,Clear,0.766667,42.4167,13.417285999999999,884,3896,4780,Sedang
2011-08-11,Fall,0,8,0,4,1,Clear,0.7175,42.375,11.041332,812,3980,4792,Sedang
2011-08-12,Fall,0,8,0,5,1,Clear,0.708333,41.5,8.416607,1051,3854,4905,Sedang
2011-08-13,Fall,0,8,0,6,0,Cloudy,0.685833,72.9583,14.167418,1504,2646,4150,Sedang
2011-08-14,Fall,0,8,0,0,0,Cloudy,0.676667,81.75,14.916411,1338,2482,3820,Sedang
2011-08-15,Fall,0,8,0,1,1,Clear,0.665833,71.20830000000001,13.999918,775,3563,4338,Sedang
2011-08-16,Fall,0,8,0,2,1,Clear,0.700833,57.8333,15.834043000000001,721,4004,4725,Sedang
2011-08-17,Fall,0,8,0,3,1,Clear,0.723333,57.5417,9.625689,668,4026,4694,Sedang
2011-08-18,Fall,0,8,0,4,1,Clear,0.711667,65.45830000000001,15.624936,639,3166,3805,Sedang
2011-08-19,Fall,0,8,0,5,1,Cloudy,0.685,72.2917,9.333635999999998,797,3356,4153,Sedang
2011-08-20,Fall,0,8,0,6,0,Clear,0.6975,67.41669999999999,6.999289,1914,3277,5191,Tinggi
2011-08-21,Fall,0,8,0,0,0,Clear,0.710833,77.0,16.666518,1249,2624,3873,Sedang
